username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CBZHoldings;2019-01-04 00:22;0;0;"When you sign up for the race";;;;"1080952628580925442";https://twitter.com/CBZHoldings/status/1080952628580925442
taugun;2019-01-04 00:10;0;1;"The title: The invincible belongs to none other than @Arsenal";;@Arsenal;;"1080949552142827520";https://twitter.com/taugun/status/1080949552142827520
munyacornita;2019-01-04 00:02;0;1;"Guys I was correct please honor your promise nd give me the price";;;;"1080947578282434560";https://twitter.com/munyacornita/status/1080947578282434560
kuzivak37748546;2019-01-03 23:33;0;0;"Thy are loosing";;;;"1080940149075312642";https://twitter.com/kuzivak37748546/status/1080940149075312642
Chipunga_farai;2019-01-03 22:09;0;1;"total number of goals 4 man city 2-liverpool 2 1st half 2 & 2nd half 2";;;;"1080919075801333760";https://twitter.com/Chipunga_farai/status/1080919075801333760
Tk_Dzivarashe;2019-01-03 22:07;0;1;"Whats the registration";;;;"1080918532416831488";https://twitter.com/Tk_Dzivarashe/status/1080918532416831488
Shumba66562028;2019-01-03 21:44;0;0;"Liverpool 3..2 City";;;;"1080912814988914688";https://twitter.com/Shumba66562028/status/1080912814988914688
vasco_tiani;2019-01-03 21:43;0;0;"Mancity 3 - liverpool 1";;;;"1080912464617689088";https://twitter.com/vasco_tiani/status/1080912464617689088
Nyamukutafarai1;2019-01-03 21:41;0;0;"0-0";;;;"1080912089043165184";https://twitter.com/Nyamukutafarai1/status/1080912089043165184
Mutemachanny;2019-01-03 21:35;0;1;"total number of goals 4 man city 2-liverpool 2 1st half 2 & 2nd half 2";;;;"1080910520146833408";https://twitter.com/Mutemachanny/status/1080910520146833408
knmuka;2019-01-03 21:34;0;1;"Liverpool 4 - 2 Man City... Second half with more goals";;;;"1080910269725982720";https://twitter.com/knmuka/status/1080910269725982720
chiefchisuwi;2019-01-03 21:26;0;1;"Mancity 2 Liverpool 0";;;;"1080908195046936576";https://twitter.com/chiefchisuwi/status/1080908195046936576
